ID,Type,Detected Time,Color,Density Value
48191,car,2024-11-23 21:35:33,"0,0,255",10.00
48192,car,2024-11-23 21:35:33,"0,0,255",10.00
48193,car,2024-11-23 21:35:33,"0,0,255",10.00
48194,car,2024-11-23 21:35:33,"0,0,255",10.00
48195,car,2024-11-23 21:35:33,"0,0,255",10.00
48196,car,2024-11-23 21:35:33,"0,0,255",10.00
48197,car,2024-11-23 21:35:33,"0,0,255",10.00
48198,car,2024-11-23 21:35:33,"0,0,255",10.00
48199,car,2024-11-23 21:35:33,"0,0,255",10.00
48200,car,2024-11-23 21:35:33,"0,0,255",10.00
48201,car,2024-11-23 21:35:34,"0,0,255",11.00
48202,car,2024-11-23 21:35:34,"0,0,255",11.00
48203,car,2024-11-23 21:35:34,"0,0,255",11.00
48204,car,2024-11-23 21:35:34,"0,0,255",11.00
48205,car,2024-11-23 21:35:34,"0,0,255",11.00
48206,car,2024-11-23 21:35:34,"0,0,255",11.00
48207,car,2024-11-23 21:35:34,"0,0,255",11.00
48208,car,2024-11-23 21:35:34,"0,0,255",11.00
48209,car,2024-11-23 21:35:34,"0,0,255",11.00
48210,car,2024-11-23 21:35:34,"0,0,255",11.00
48211,car,2024-11-23 21:35:34,"0,0,255",11.00
48212,car,2024-11-23 21:35:35,"0,0,255",11.00
48213,car,2024-11-23 21:35:35,"0,0,255",11.00
48214,car,2024-11-23 21:35:35,"0,0,255",11.00
48215,car,2024-11-23 21:35:35,"0,0,255",11.00
48216,car,2024-11-23 21:35:35,"0,0,255",11.00
48217,car,2024-11-23 21:35:35,"0,0,255",11.00
48218,car,2024-11-23 21:35:35,"0,0,255",11.00
48219,car,2024-11-23 21:35:35,"0,0,255",11.00
48220,car,2024-11-23 21:35:35,"0,0,255",11.00
48221,car,2024-11-23 21:35:35,"0,0,255",11.00
48222,car,2024-11-23 21:35:35,"0,0,255",11.00
48223,car,2024-11-23 21:35:35,"0,0,255",11.00
48224,car,2024-11-23 21:35:35,"0,0,255",11.00
48225,car,2024-11-23 21:35:35,"0,0,255",11.00
48226,car,2024-11-23 21:35:35,"0,0,255",11.00
48227,car,2024-11-23 21:35:35,"0,0,255",11.00
48228,car,2024-11-23 21:35:35,"0,0,255",11.00
48229,car,2024-11-23 21:35:35,"0,0,255",11.00
48230,car,2024-11-23 21:35:35,"0,0,255",11.00
48231,car,2024-11-23 21:35:35,"0,0,255",11.00
48232,car,2024-11-23 21:35:35,"0,0,255",11.00
48233,car,2024-11-23 21:35:35,"0,0,255",11.00
48234,car,2024-11-23 21:35:36,"0,0,255",12.00
48235,car,2024-11-23 21:35:36,"0,0,255",12.00
48236,car,2024-11-23 21:35:36,"0,0,255",12.00
48237,car,2024-11-23 21:35:36,"0,0,255",12.00
48238,car,2024-11-23 21:35:36,"0,0,255",12.00
48239,car,2024-11-23 21:35:36,"0,0,255",12.00
48240,car,2024-11-23 21:35:36,"0,0,255",12.00
48241,car,2024-11-23 21:35:36,"0,0,255",12.00
48242,car,2024-11-23 21:35:36,"0,0,255",12.00
48243,car,2024-11-23 21:35:36,"0,0,255",12.00
48244,car,2024-11-23 21:35:36,"0,0,255",12.00
48245,car,2024-11-23 21:35:36,"0,0,255",12.00
48246,car,2024-11-23 21:35:36,"0,0,255",11.00
48247,car,2024-11-23 21:35:36,"0,0,255",11.00
48248,car,2024-11-23 21:35:36,"0,0,255",11.00
48249,car,2024-11-23 21:35:36,"0,0,255",11.00
48250,car,2024-11-23 21:35:36,"0,0,255",11.00
48251,car,2024-11-23 21:35:36,"0,0,255",11.00
48252,car,2024-11-23 21:35:36,"0,0,255",11.00
48253,car,2024-11-23 21:35:36,"0,0,255",11.00
48254,car,2024-11-23 21:35:36,"0,0,255",11.00
48255,car,2024-11-23 21:35:36,"0,0,255",11.00
48256,car,2024-11-23 21:35:36,"0,0,255",11.00
48257,car,2024-11-23 21:35:37,"0,0,255",11.00
48258,car,2024-11-23 21:35:37,"0,0,255",11.00
48259,car,2024-11-23 21:35:37,"0,0,255",11.00
48260,car,2024-11-23 21:35:37,"0,0,255",11.00
48261,car,2024-11-23 21:35:37,"0,0,255",11.00
48262,car,2024-11-23 21:35:37,"0,0,255",11.00
48263,car,2024-11-23 21:35:37,"0,0,255",11.00
48264,car,2024-11-23 21:35:37,"0,0,255",11.00
48265,car,2024-11-23 21:35:37,"0,0,255",11.00
48266,car,2024-11-23 21:35:37,"0,0,255",11.00
48267,car,2024-11-23 21:35:37,"0,0,255",11.00
48268,car,2024-11-23 21:35:38,"0,0,255",13.00
48269,car,2024-11-23 21:35:38,"0,0,255",13.00
48270,car,2024-11-23 21:35:38,"0,0,255",13.00
48271,car,2024-11-23 21:35:38,"0,0,255",13.00
48272,car,2024-11-23 21:35:38,"0,0,255",13.00
48273,car,2024-11-23 21:35:38,"0,0,255",13.00
48274,car,2024-11-23 21:35:38,"0,0,255",13.00
48275,car,2024-11-23 21:35:38,"0,0,255",13.00
48276,car,2024-11-23 21:35:38,"0,0,255",13.00
48277,car,2024-11-23 21:35:38,"0,0,255",13.00
48278,car,2024-11-23 21:35:38,"0,0,255",13.00
48279,car,2024-11-23 21:35:38,"0,0,255",13.00
48280,car,2024-11-23 21:35:38,"0,0,255",13.00
48281,car,2024-11-23 21:35:38,"0,0,255",13.00
48282,car,2024-11-23 21:35:38,"0,0,255",13.00
48283,car,2024-11-23 21:35:38,"0,0,255",13.00
48284,car,2024-11-23 21:35:38,"0,0,255",13.00
48285,car,2024-11-23 21:35:38,"0,0,255",13.00
48286,car,2024-11-23 21:35:38,"0,0,255",13.00
48287,car,2024-11-23 21:35:38,"0,0,255",13.00
48288,car,2024-11-23 21:35:38,"0,0,255",13.00
48289,car,2024-11-23 21:35:38,"0,0,255",13.00
48290,car,2024-11-23 21:35:38,"0,0,255",13.00
48291,car,2024-11-23 21:35:38,"0,0,255",13.00
48292,car,2024-11-23 21:35:38,"0,0,255",13.00
48293,car,2024-11-23 21:35:38,"0,0,255",13.00
48294,car,2024-11-23 21:35:39,"0,0,255",13.00
48295,car,2024-11-23 21:35:39,"0,0,255",13.00
48296,car,2024-11-23 21:35:39,"0,0,255",13.00
48297,car,2024-11-23 21:35:39,"0,0,255",13.00
48298,car,2024-11-23 21:35:39,"0,0,255",13.00
48299,car,2024-11-23 21:35:39,"0,0,255",13.00
48300,car,2024-11-23 21:35:39,"0,0,255",13.00
48301,car,2024-11-23 21:35:39,"0,0,255",13.00
48302,car,2024-11-23 21:35:39,"0,0,255",13.00
48303,car,2024-11-23 21:35:39,"0,0,255",13.00
48304,car,2024-11-23 21:35:39,"0,0,255",13.00
48305,car,2024-11-23 21:35:39,"0,0,255",13.00
48306,car,2024-11-23 21:35:39,"0,0,255",13.00
48307,car,2024-11-23 21:35:39,"0,0,255",14.00
48308,car,2024-11-23 21:35:39,"0,0,255",14.00
48309,car,2024-11-23 21:35:39,"0,0,255",14.00
48310,car,2024-11-23 21:35:39,"0,0,255",14.00
48311,car,2024-11-23 21:35:40,"0,0,255",14.00
48312,car,2024-11-23 21:35:40,"0,0,255",14.00
48313,car,2024-11-23 21:35:40,"0,0,255",14.00
48314,car,2024-11-23 21:35:40,"0,0,255",14.00
48315,car,2024-11-23 21:35:40,"0,0,255",14.00
48316,car,2024-11-23 21:35:40,"0,0,255",14.00
48317,car,2024-11-23 21:35:40,"0,0,255",14.00
48318,car,2024-11-23 21:35:40,"0,0,255",14.00
48319,car,2024-11-23 21:35:40,"0,0,255",14.00
48320,car,2024-11-23 21:35:40,"0,0,255",14.00
48321,car,2024-11-23 21:35:40,"0,0,255",15.00
48322,car,2024-11-23 21:35:40,"0,0,255",15.00
48323,car,2024-11-23 21:35:40,"0,0,255",15.00
48324,car,2024-11-23 21:35:40,"0,0,255",15.00
48325,car,2024-11-23 21:35:40,"0,0,255",15.00
48326,car,2024-11-23 21:35:40,"0,0,255",15.00
48327,car,2024-11-23 21:35:40,"0,0,255",15.00
48328,car,2024-11-23 21:35:40,"0,0,255",15.00
48329,car,2024-11-23 21:35:40,"0,0,255",15.00
48330,car,2024-11-23 21:35:40,"0,0,255",15.00
48331,car,2024-11-23 21:35:40,"0,0,255",15.00
48332,car,2024-11-23 21:35:40,"0,0,255",15.00
48333,car,2024-11-23 21:35:40,"0,0,255",15.00
48334,car,2024-11-23 21:35:40,"0,0,255",15.00
48335,car,2024-11-23 21:35:40,"0,0,255",15.00
48336,car,2024-11-23 21:35:41,"0,0,255",13.00
48337,car,2024-11-23 21:35:41,"0,0,255",13.00
48338,car,2024-11-23 21:35:41,"0,0,255",13.00
48339,car,2024-11-23 21:35:41,"0,0,255",13.00
48340,car,2024-11-23 21:35:41,"0,0,255",13.00
48341,car,2024-11-23 21:35:41,"0,0,255",13.00
48342,car,2024-11-23 21:35:41,"0,0,255",13.00
48343,car,2024-11-23 21:35:41,"0,0,255",13.00
48344,car,2024-11-23 21:35:41,"0,0,255",13.00
48345,car,2024-11-23 21:35:41,"0,0,255",13.00
48346,car,2024-11-23 21:35:41,"0,0,255",13.00
48347,car,2024-11-23 21:35:41,"0,0,255",13.00
48348,car,2024-11-23 21:35:41,"0,0,255",13.00
48349,car,2024-11-23 21:35:42,"0,0,255",15.00
48350,car,2024-11-23 21:35:42,"0,0,255",15.00
48351,car,2024-11-23 21:35:42,"0,0,255",15.00
48352,car,2024-11-23 21:35:42,"0,0,255",15.00
48353,car,2024-11-23 21:35:42,"0,0,255",15.00
48354,car,2024-11-23 21:35:42,"0,0,255",15.00
48355,car,2024-11-23 21:35:42,"0,0,255",15.00
48356,car,2024-11-23 21:35:42,"0,0,255",15.00
48357,car,2024-11-23 21:35:42,"0,0,255",15.00
48358,car,2024-11-23 21:35:42,"0,0,255",15.00
48359,car,2024-11-23 21:35:42,"0,0,255",15.00
48360,car,2024-11-23 21:35:42,"0,0,255",15.00
48361,car,2024-11-23 21:35:42,"0,0,255",15.00
48362,car,2024-11-23 21:35:42,"0,0,255",15.00
48363,car,2024-11-23 21:35:42,"0,0,255",15.00
